Day,H1,H2,H3
636,1.149259583,1.262928642,0.740607644
637,1.168191161,1.264178606,0.731261127
638,1.222417368,1.246069696,0.762858938
639,1.321774268,1.219034075,0.76759924
640,1.355119995,1.204464813,0.786153585
641,1.402117371,1.218835118,0.770484216
642,1.362319869,1.259399379,0.717089739
643,1.310508875,1.30465526,0.712751802
644,1.321170838,1.330426751,0.670330973
645,1.3371573,1.328244585,0.617792109
646,1.424599928,1.310089943,0.637014237
647,1.482617312,1.295548042,0.637070387
648,1.501198121,1.29320339,0.629923118
649,1.488065492,1.293091213,0.632084528
650,1.404505817,1.276649112,0.624935549
651,1.355770377,1.23469829,0.654959974
652,1.346417878,1.177245797,0.658691272
653,1.391218743,1.127022463,0.642602182
654,1.462159488,1.103351638,0.665308167
655,1.494425454,1.11040884,0.650668124
656,1.512096007,1.138197522,0.622008788
657,1.497313311,1.172438728,0.618417995
658,1.458828952,1.203043742,0.622675895
659,1.397774507,1.225082009,0.662920081
660,1.359117702,1.235215434,0.675148313
661,1.393592337,1.230476927,0.669172963
662,1.471580565,1.211627926,0.70356098
663,1.538187469,1.186308105,0.691863409
664,1.508889628,1.166253824,0.664439144
665,1.443201348,1.159334603,0.673446132
666,1.395141412,1.163781902,0.666465676
667,1.377130281,1.170925771,0.664102994
668,1.400272628,1.174383806,0.641081012
669,1.391064762,1.176574242,0.610832047
670,1.429375558,1.185515154,0.632696222
671,1.494572304,1.204642096,0.628444604
672,1.51707076,1.226027534,0.618501972
673,1.506963341,1.234737046,0.64441992
674,1.402335017,1.22122485,0.635570661
675,1.365840521,1.190330882,0.614633956
676,1.408711264,1.158150914,0.578129252
677,1.448480177,1.139430783,0.541233067
678,1.504880239,1.137039009,0.557682455
679,1.453233003,1.142725649,0.536894506
680,1.423293902,1.14723218,0.511379085
681,1.404790894,1.149076678,0.541586642
682,1.322640919,1.153598156,0.529193596
683,1.298900862,1.164432982,0.5203617
684,1.242646888,1.177430752,0.541321234
685,1.286300051,1.184043981,0.544935839
686,1.38473408,1.180708837,0.58086981
687,1.387432536,1.1738457,0.580858346
688,1.417662956,1.174307374,0.545470141
689,1.357564979,1.186263036,0.570025109
690,1.345154237,1.201999499,0.566482428
691,1.392168133,1.208796253,0.544892275
692,1.366134312,1.201823568,0.571744013
693,1.430524875,1.190243786,0.580363115
694,1.422146795,1.189630978,0.575245042
695,1.414028729,1.207081514,0.552865391
