	Unnamed: 0	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	delmassflux	reldelmassflux	normmassflux	Time	fraction	relbase	normmassflux_fraction
130	130	40	1.0	2	Original	Slow	0	Ammonium	-0.006584607580478085	19.51042638023765	0.8048957361976236	167.5	0.8170731707317073	0.8048957361976236	1.0
131	131	40	1.0	2	Original	Slow	0	Nitrate	-0.10400800904891762	73.96306292949943	0.26036937070500554	167.5	0.8170731707317073	0.26036937070500554	1.0
132	132	40	1.0	2	Original	Slow	0	Sulphate	-5.6155841088312294e-09	6.655670151837913e-07	0.9999999933443298	167.5	0.8170731707317073	0.9999999933443298	1.0
133	133	40	1.0	2	Original	Slow	0	Particulate organic matter	0.0019337773900368414	-68.75821395815218	1.687582139581522	167.5	0.8170731707317073	1.687582139581522	1.0
134	134	40	1.0	2	Original	Slow	0	Nitrogen	-0.09777934351724402	55.64475123668303	0.4435524876331698	167.5	0.8170731707317073	0.4435524876331698	1.0
135	135	40	1.0	2	Original	Slow	0	TOC	-0.13790287555687486	29.753237147059828	0.7024676285294016	167.5	0.8170731707317073	0.7024676285294016	1.0
136	136	40	1.0	2	Original	Slow	2	DOC	-291.3179208100128	59.119190213588716	0.4088080978641127	167.5	0.8170731707317073	0.4087952787791156	1.0000313582021676
137	137	40	1.0	2	Original	Slow	2	DO	-153.31322411565742	99.56137139576174	0.0043862860423825745	167.5	0.8170731707317073	0.004339565403909521	1.010766202171066
138	138	40	1.0	2	Original	Slow	2	Ammonium	-7.208344895636955	19.50453359570849	0.804954664042915	167.5	0.8170731707317073	0.8048957361976236	1.000073211774695
139	139	40	1.0	2	Original	Slow	2	Nitrate	-113.30944486619491	73.58297882027713	0.2641702117972287	167.5	0.8170731707317073	0.26036937070500554	1.014597881010088
140	140	40	1.0	2	Original	Slow	2	Sulphate	-6.017301984684309e-06	6.512711054480014e-07	0.9999999934872892	167.5	0.8170731707317073	0.9999999933443298	1.0000000001429594
141	141	40	1.0	2	Original	Slow	2	Particulate organic matter	2.1337481654169825	-69.28263846367368	1.6928263846367366	167.5	0.8170731707317073	1.687582139581522	1.0031075495125321
142	142	40	1.0	2	Original	Slow	2	Nitrogen	-106.5212343259672	55.357494686330156	0.44642505313669834	167.5	0.8170731707317073	0.4435524876331698	1.006476269626751
143	143	40	1.0	2	Original	Slow	2	TOC	-151.3523664513661	29.82038636268028	0.7017961363731972	167.5	0.8170731707317073	0.7024676285294016	0.9990440952309644
144	144	40	1.0	2	Original	Slow	5	DOC	-291.04751515589766	59.09188398183453	0.4090811601816547	167.5	0.8170731707317073	0.4087952787791156	1.0006993265758668
145	145	40	1.0	2	Original	Slow	5	DO	-153.23626595424716	99.55784320346636	0.004421567965336324	167.5	0.8170731707317073	0.004339565403909521	1.0188964916516587
146	146	40	1.0	2	Original	Slow	5	Ammonium	-7.195770763057798	19.479598299163246	0.8052040170083675	167.5	0.8170731707317073	0.8048957361976236	1.000383007136055
147	147	40	1.0	2	Original	Slow	5	Nitrate	-112.94335097574144	73.37947291585827	0.2662052708414172	167.5	0.8170731707317073	0.26036937070500554	1.0224139272626795
148	148	40	1.0	2	Original	Slow	5	Sulphate	-5.643474310090824e-06	6.1109569046639e-07	0.9999999938890431	167.5	0.8170731707317073	0.9999999933443298	1.0000000005447134
149	149	40	1.0	2	Original	Slow	5	Particulate organic matter	2.153874585941111	-69.96878544765676	1.6996878544765677	167.5	0.8170731707317073	1.687582139581522	1.0071734078070105
150	150	40	1.0	2	Original	Slow	5	Nitrogen	-105.79860934750715	55.007620865301	0.44992379134698995	167.5	0.8170731707317073	0.4435524876331698	1.014364261032145
151	151	40	1.0	2	Original	Slow	5	TOC	-147.64239124297666	29.1030018198111	0.708969981801889	167.5	0.8170731707317073	0.7024676285294016	1.0092564454337916
152	152	40	1.0	2	Original	Slow	1	DOC	-291.04871968119664	59.12575363543858	0.4087424636456142	167.5	0.8170731707317073	0.4087952787791156	0.9998708029758584
153	153	40	1.0	2	Original	Slow	1	DO	-153.15492455964468	99.56161673536077	0.004383832646392383	167.5	0.8170731707317073	0.004339565403909521	1.0102008469426411
154	154	40	1.0	2	Original	Slow	1	Ammonium	-7.19717357009316	19.494482428597557	0.8050551757140244	167.5	0.8170731707317073	0.8048957361976236	1.0001980871673566
155	155	40	1.0	2	Original	Slow	1	Nitrate	-113.28582123351109	73.64385799301516	0.26356142006984856	167.5	0.8170731707317073	0.26036937070500554	1.0122596961240098
156	156	40	1.0	2	Original	Slow	1	Sulphate	-5.9548549415922025e-06	6.451800218135567e-07	0.9999999935481998	167.5	0.8170731707317073	0.9999999933443298	1.00000000020387
157	157	40	1.0	2	Original	Slow	1	Particulate organic matter	2.134652755584277	-69.38382168436115	1.6938382168436115	167.5	0.8170731707317073	1.687582139581522	1.0037071245987712
158	158	40	1.0	2	Original	Slow	1	Nitrogen	-106.52787152567012	55.41830107658862	0.4458169892341138	167.5	0.8170731707317073	0.4435524876331698	1.005105374592819
159	159	40	1.0	2	Original	Slow	1	TOC	-151.49748690185544	29.879904164948226	0.7012009583505178	167.5	0.8170731707317073	0.7024676285294016	0.9981968276865149
160	160	41	1.0	5	Original	Slow	0	DOC	-0.26839254862233985	59.12314669015665	0.40876853309843364	182.5	0.8902439024390244	0.40876853309843364	1.0
