	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
140	38	0.1	5	Original	Slow	5	Mobile inactive aerobic degraders	170	0	-0.8622245843673064	1.0	205.0
141	38	0.1	5	Original	Slow	5	Mobile inactive nitrate reducers	160	0	-0.8628750797518625	1.0	205.0
142	38	0.1	5	Original	Slow	5	Mobile inactive sulphate reducers	70	0	-0.7140335537073462	1.0	205.0
143	38	0.1	5	Original	Slow	5	Mobile inactive ammonia oxidizers	25	0	-0.8219129970487145	1.0	205.0
144	39	0.1	10	Original	Slow	1	Immobile active aerobic degraders	0	55	0.9743297229709709	0.9878048780487804	202.5
145	39	0.1	10	Original	Slow	1	Immobile active nitrate reducers	20	65	0.9507015447548802	0.9878048780487804	202.5
146	39	0.1	10	Original	Slow	1	Immobile active sulphate reducers	0	0	0.5459402200175129	0.9878048780487804	202.5
147	39	0.1	10	Original	Slow	1	Immobile active ammonia oxidizers	25	60	0.8878191659906683	0.9878048780487804	202.5
148	39	0.1	10	Original	Slow	1	Mobile active aerobic degraders	20	0	-0.7653682743596087	0.9878048780487804	202.5
149	39	0.1	10	Original	Slow	1	Mobile active nitrate reducers	155	0	-0.7024900672350265	0.9878048780487804	202.5
150	39	0.1	10	Original	Slow	1	Mobile active sulphate reducers	0	40	0.9840078797618926	0.9878048780487804	202.5
151	39	0.1	10	Original	Slow	1	Mobile active ammonia oxidizers	15	30	0.7824257671913283	0.9878048780487804	202.5
152	39	0.1	10	Original	Slow	1	Immobile inactive aerobic degraders	80	0	-0.6883053261918274	0.9878048780487804	202.5
153	39	0.1	10	Original	Slow	1	Immobile inactive nitrate reducers	20	0	-0.8988934771851027	0.9878048780487804	202.5
154	39	0.1	10	Original	Slow	1	Immobile inactive sulphate reducers	475	0	0.47845465523149544	0.9878048780487804	202.5
155	39	0.1	10	Original	Slow	1	Immobile inactive ammonia oxidizers	15	0	-0.8060217137055483	0.9878048780487804	202.5
156	39	0.1	10	Original	Slow	1	Mobile inactive aerobic degraders	125	0	-0.7264390817501074	0.9878048780487804	202.5
157	39	0.1	10	Original	Slow	1	Mobile inactive nitrate reducers	130	0	-0.7259359103233668	0.9878048780487804	202.5
158	39	0.1	10	Original	Slow	1	Mobile inactive sulphate reducers	110	0	-0.7097913240438031	0.9878048780487804	202.5
159	39	0.1	10	Original	Slow	1	Mobile inactive ammonia oxidizers	30	0	-0.7699946346780736	0.9878048780487804	202.5
160	39	0.1	10	Original	Slow	2	Immobile active aerobic degraders	0	185	0.9831741569929664	0.9878048780487804	202.5
161	39	0.1	10	Original	Slow	2	Immobile active nitrate reducers	20	220	0.9835156270149262	0.9878048780487804	202.5
162	39	0.1	10	Original	Slow	2	Immobile active sulphate reducers	445	180	0.7535397251956399	0.9878048780487804	202.5
163	39	0.1	10	Original	Slow	2	Immobile active ammonia oxidizers	25	225	0.9457482204235184	0.9878048780487804	202.5
164	39	0.1	10	Original	Slow	2	Mobile active aerobic degraders	15	0	-0.7417692102489438	0.9878048780487804	202.5
165	39	0.1	10	Original	Slow	2	Mobile active nitrate reducers	195	0	-0.7503904671995608	0.9878048780487804	202.5
166	39	0.1	10	Original	Slow	2	Mobile active sulphate reducers	0	155	0.9881311276558858	0.9878048780487804	202.5
167	39	0.1	10	Original	Slow	2	Mobile active ammonia oxidizers	15	70	0.7773208172321275	0.9878048780487804	202.5
168	39	0.1	10	Original	Slow	2	Immobile inactive aerobic degraders	155	0	-0.8918549107791548	0.9878048780487804	202.5
169	39	0.1	10	Original	Slow	2	Immobile inactive nitrate reducers	10	0	-0.841323227901287	0.9878048780487804	202.5
170	39	0.1	10	Original	Slow	2	Immobile inactive sulphate reducers	370	330	0.8438448678119872	0.9878048780487804	202.5
171	39	0.1	10	Original	Slow	2	Immobile inactive ammonia oxidizers	935	0	0.6611356218256675	0.9878048780487804	202.5
172	39	0.1	10	Original	Slow	2	Mobile inactive aerobic degraders	155	0	-0.8821626775123347	0.9878048780487804	202.5
173	39	0.1	10	Original	Slow	2	Mobile inactive nitrate reducers	145	0	-0.878569634361479	0.9878048780487804	202.5
174	39	0.1	10	Original	Slow	2	Mobile inactive sulphate reducers	45	0	-0.6678914948806258	0.9878048780487804	202.5
175	39	0.1	10	Original	Slow	2	Mobile inactive ammonia oxidizers	15	0	-0.7554988995385157	0.9878048780487804	202.5
